TicketId,Text
29,سلام من داشتم فیلم معرفی هوش مصنوعی قسمت 2 و کلان چالش ها و هوش مصنوعی قسمت 1 را می دیدم که وقتی سوال دوم را جواب دادم نگذاشت سوال سوم را جواب بدم و امتیاز را ثبت کرد اگه میشه سوال هارا دوباره فعال کنید 
29,میشه جواب بدید
31,ایجاد یک فضا برای پرسش و پاسخ با مدرسان  
31,ببخشید من تکالیف دو جلسه را جابجا فرستادم   مشکلی پیش نمیاد؟
32,سلام لطفا باتوجه به مغایرت زمان ارسال تمارین با امتحانات برای تمرینات تا تاریخ 16م وقت بیشتری لحاظ فرمایید .... 
32,با تشکر
32,سلام گفته شد که زمان ارسال تمارین تا 12 امشب خواهد بود بنده دقایقی قبل از پایان مهلت تلاش به ارسال تمرین کردم اما ارسال بسته شده بود . لطفا نسبت به تعیین زمان درستی اقدام فرمایید .  به دلیل نقص تایمر سایت امکان ارسال پاسخ محتوا سلب شد ..........
32,سلام بررسی کردید؟
32,سلام واقعا خیلی شروط نوشته شده در سایت ضعیفه من هنوز یک سوال رو جواب ندادم اما نوشته شده به محض پاسخ دادن به سوال سوم امکان پاسخگویی بسته بشه . خب الان این امتیازات ناحقی که کم میشه رو چیکار کنیم؟
32,سلام نمونه کار تولید شده مبارزه در کربلا توسط هوش مصنوعی
32,محمدطاها محمودی پایه 11 کرمانشاه
32,تصویر
32,سلام متشکرم
32,سلام وقت بخیر متاسفانه مشکلات سایت انتها ندارد . در فیلم جلسه چهارم از اخرین مجموعه اموزشی پایتون سوال اخر اصلا روی صفحه بالا نیامد و اجازه پاسخگویی داده نشد و نمره کم شد . لطفا زمان جایگزین اعلام بفرمایید که امکان پاسخگویی به این سوال برای بنده فراهم میشه وگرنه دیگر به دلیل نقایص بی انتها لزومی برای ادامه دوره نیست . باتشکر
32,پاسخ به سوال ..... درحال نزدیک شدن به اتمام آموزش عمومی هستیم و افراد برتر مورد تقدیر قرار می‌گیرند یا از کسانیکه تمارین رو به شیوه صحیح به انجام رسوندن قدردانی میشه ...
32,سلام علیکم
32,ممنونم از پیگیری شما . محبت فرمودید
32,با استفاده از مدل هوش مصنوعی Bing.com
32,سلام وقت بخیر  خواستم تشکر کنم بابت زحماتی که در این مدت کشیده شد . ممنونم از خدماتی که ارائه دادید .  ضمنا اجازه هست فیلم های آموزشی را دانلود کنم ؟ حق نشر رو هم رعایت میکنم فقط برای استفاده شخصی عرض میکنم
32,ممنونم اما خب خیلی علاقه به یادگیری این مطالب دارم . و سال اینده کنکور دارم متاسفانه مهلت استفاده ندارم . خواستم اجازه بگیرم که با رضایت همراه اول با افزونه دانلود کنم
32,متشکرم
37,سلام ببخشید میخواستم بدونم فایل پایتون رو که به صورت پی دی اف ارسال می کنیم باید خود برنامه ای که ساختیم در آن موجود باشد یا خیر؟ تشکر. 
37,دستتون درد نکنه.
39,سلام نمیتوانم تکالیف ارسال کنم لطفا راهنمایی بفرمایید 
42,ببخشید من نمیرسم تا اخر امشب تمام فیلم های پایتون رو ببینم نمیتونم بعد تکالیف رو ارسال کنم 
42,لطفا بزارید بعد بفرستم
43,سلام خسته نباشید چرا امتیاز تمازین هنوز برای من ثبت نشده؟
43,عذر میخوام الان جدول امتیازاتم رو دیدم و متوجه شدم. ولی من تمرین قسمت سه و چهار کلان چالش ها رو جا انداختم متاسفانه. میشه لطفا ارسال تمرین این دو قسمت رو باز کنید تا من الان بتونم امتیاز این دو قسمت هم دریافت کنم؟
43,چون من فایل تمرینات رو آماده دارم ولی متاسفانه نتوستم اونها رو اپلود کنم و جا انداختم.
44,سلام ویدیوی شماره ۳ رو نگاه کردم ولی ویدیوی شماره ۴ باز نمیشه. مشکل از چیه؟
45,سلام خسته نباشید من سوالات قسمت 4 رو دیر انجام دادم بعد گفتن ثبت نمیشه.بعد 2 روز بعد که اومدم داشتم یک بار دیگه آخر ویدیو رو نگاه میکردم ویدیو که تمام شد همه ی سوالات بدون پاسخ ثبت شد من باید چه کارکنم
46,سلام وقت بخير  ببخشيد برنامه vscodeبراىايفون دانلود نميشه  ميشه راهنمايى كنيد لطفا
46,ممنونم 
46,سلام 
46,روز بخیر 
46,ببخشید امکانش هست جواب درست تمرین ها و سوالات هر ویدیو رو در دسترس ما قرار بدهید لطفا چون من سوالات ویدیویی رو کاملا درست جواب دادم اما امتیاز نگرفتم 
46,ببخشید حل تمرین ها در اختیار ما قرار می‌گیرد اما استاد به طور کلی صحبت میکنن و مثلا همون تمرین رو به صورت عملی حل نمیکنن که ما درقسمت برنامه نویسی متوجه بشیم که چگونه عمل کنیم 
46,ممنونم
48,"با سلام مگر فرست ارسال تمارین ۳و ۴ تا آخر امشب نیست ؟ ولی در سایت بسته است در صورتی که در کانال گفتید تا آخر امروز ⭕️ اطلاعیه شماره 3:  با توجه به زمان امتحانات میان‌ترم و درخواست برخی دانش‌آموزان، مهلت ارسال تمرین جلسات اول و دوم، به مدت 2 روز و تا پایان روز سه‌شنبه 11 ام اردیبهشت ماه تمدید شد.  📌 جدول مهلت ارسال تمرین جلسات به شرح زیر خواهد بود:  🔸جلسه اول: 11 اردیبهشت 🔹جلسه دوم: 11 اردیبهشت 🔸جلسه سوم: 16 اردیبهشت 🔹جلسه چهارم: 16 اردیبهشت 🔸جلسه پنجم: 23 اردیبهشت  موفق باشید🌱  #اطلاعیه #مهلت_ارسال_تمرین"
48,ممنون
48,و حالا اگر امکان داره یه یک رو ز مهلت بدهید خیلی خیلی ممنون میشم
48,با تشکر از زحمات فروان شما
51,سلام وقت بخیر من موفق به نصب پایتون روی کامپیوتر نشدم. اگه میشه راهنمایی کنید 
51,یعنی کامپیوتر خونه ما این برنامه رو قبول نمیکنه
52,لطفا زمان ارسال تکالیف رو بزارید بعد از امتحانات نهایی درس های مدرسه زیاد هست وقت کم میاریم با تشکر .
56,"سلام ، الان امکان امکان پاسخ به سوالات جلسات اولیه وجود ندارد و برای دیدن قسمت بعد باید به سوالات قسمت قبل جواب داد"
56,سلام گفته بودید برای اینترنت شماره ارسال کنم 09112077351
58,سلام خسته نباشید ببخشید امروز توی شاد بازم جلسه جدید آموزشی گذاشتم برای ما این جلسات گذشته  باز نمی‌شه که ما حل کنیم تمرین بفرستیم و نمی‌دونیم باید چیکار کنیم الان اون افرادی که با ما هستند نمراتشونو گرفتن و ما ولی ما نمرات اون دوره رو نداریم دوره ها هنوز زمان دارد اونا هم باز نمیشه میگه دوره های قبل را باید پرکنید 
58,سلام ببخشید من هرچی تمرین میفرستم 3 نمره میده ولی من نه فایل رو ویرایش میکنم نه کار دیگه ای و فایل هایی که میفرستم هم کاملن لطفا پیگیری کنید  و همچننین لطفا تمرینات هر فایل تمرینی رو کمتر کنید در یک فایل تمرین 5 تمرین گذاشته میشه که باید کد نویسی کرد 
58,سلام ببخشید من نمیتونم تمرینات بعد از پایتون 4 قسمت 3 رو بفرستم 
59,با سلام بعد از انتخاب جواب سوال بعد از چند دقیقه خودش پاک میکنه جوابو و آخر سر امتیاز رو کم میکنه.
59,"با سلام بنده درخواستی مبنی بر اجازه انجام دوباره مرحله پایتون یک قسمت سوم رو دا ه بودم که برام صفر لحاظ شده بود بخاطر خارج شدن از گوگل ، نتیجه چی شد؟"
61,سلام وقت بخیر من توی کانال شاد عضو هستم و گفته بودن ک جلسه ۳ و ۴ را تا ۱۶ ام میتونیم تمرین هاش رو بفرستیم در صورتی ک سایت زود تر بسته شده لطفا پیگری کنید
61,بله ممنون
61,سلام 
61,حدودا از وقتی ک کلیپ های حل تمارین رو گذاشتید سایت مشکل پیدا کرده و بالا و پایین نمیشه و دسترسی بهش ندارم 
61,چیکار باید انجام بدم تا درست بشه 
61,با عکس نمیشه درست گفت منظورم اینه ک وقتی میخوام فایل های پایین تری رو ببینم با اینکه صفحه رو با انگشت میبرمش بالا ولی صفحه تغییری نمیکنه و حرکت نمیکنه و دسترسی ب فایل های پایین تر ندارم
61,با عکس نمیشه درست گفت منظورم اینه ک وقتی میخوام فایل های پایین تری رو ببینم با اینکه صفحه رو با انگشت میبرمش بالا ولی صفحه تغییری نمیکنه و حرکت نمیکنه و دسترسی ب فایل های پایین تر ندارم
61,با عکس نمیشه درست گفت منظورم اینه ک وقتی میخوام فایل های پایین تری رو ببینم با اینکه صفحه رو با انگشت میبرمش بالا ولی صفحه تغییری نمیکنه و حرکت نمیکنه و دسترسی ب فایل های پایین تر ندارم
61,مدل گوشی ام هم شیائومی پرو نوت ۸ هست
61,سلام
61,من اومدم یکی از کلیپ ها رو زدم اخر ک ببینم تکلیف به چه صورته برام نوشت امتیاز سوالات ۰ از ۶ درصورتی ک من فقط یه لحظه زدم اخر ک تکلیف رو ببینم
61,لطفا پیگیری کنید ک بتونم این امتیاز رو بدست بیارم
61,الان هم دوباره به همین صورت شد دستم خورد اخر ویدیو و بدون اینکه سوالات رو دیده باشم یا حتی ۰واب داده باشم نمره صفر ثبت شد
61,این باگ برای کلیپ ها هستش و بدون اینکه ما حتی جواب داشته باشیم یا هرچیز دیگری دستمون ک میخوره اخرش سوالات رو ۰ رد میکنه
61,شما این تصویر رو ببنید به این صورت شده حتی با اینکه من سوالات رو جواب ندادم
61,تشکر الان درست شده بود
62,ببخشید من به دوتا از سوالات برنامه نویسی پایتون دو جلسه دوم جواب درست را دادم ولی امتیازم صفر شد 
62,نمیتونم تمرین ها رو ارسال کنم امروز آخرین روزه لطفا پیگیری کنین یا وقت بدین
62,درمورد خبر خوبی که گفتین قرار بخش چالش ها شروع بشه؟؟
62,ممنون
63,سلام وقت بخیر اگر می شود برای تمرین ها قسمت دوم آموزش پایتون وقت را زیاد کنید چون امتحانات ما شروع شدن و وقت کافی نداریم
64,لطفا وقت ارسال تمرین ها رو زیاد تر کنید چون امتحانات شروع شده و وقتی نیست که ویدیو ها رو ببینیم 
65,سلام وقت بخیر میخواستم بگم اگه میشه مهلت ارسال تمرین را برای جلسات سوم و چهارم بیشتر کنید چون امتحانات شروع شده و واقعا فرصت نمیکنیم ویدیوهارا ببینیم ممنون میشم اگه فرصت رو بیشتر کنید
65,"سلام وقت بخیر  ببخشید یک مشکلی در پخش ویدیو ها وجود دارد مشکل اینه که که در حین پخش ویدیو اگر صفحه را از حالت کوچک ، بزرگ کنیم یا برعکس، از حالت بزرگ کوچک کنیم، ویدیو دوباره از اول شروع میشود و این ایراد بدیه چون ممکنه بخوایم تا یه قسمتی از ویدیو رو مشاهده کنیم و مثلا لپ تاب را خاموش کنیم و بعدا ادامه ان را ببینیم ، ولی با وجود این مشکل چنین کاری امکان پذیر نیست چون دوباره ویدیو  از اول شروع میشه و نمیدونیم دفعه قبل تا کجارا مشاهده کردیم، که ادامش رو ببینیم ممنون میشم این مشکل رو حل کنید باتشکر"
65,سلام وقت بخیر 
65,به نظر من خبر خوبتون میتونه برگزاری یک برنامه حضوری در شرکت همراه اول باشه
65,سلام وقت بخیر 
65,"چرا بعد از زدن گزینه حل تمرین ، یک صفحه با عنوان ورود کاربر باز میشه؟"
65,"با ورود به ویدیوی موردنظر ، بعد از اینکه ویدیو رو دیدم میخواستم ویدیوی حل تمرین را ببینیم و روی گزینه حل تمرین پایین ویدیو زدم که این صفحه بازشد"
65,این هم ویدیوش
65,متشکرم
66,سلام روز بخیر ببخشید میخواستم ببینم امکان تمدید تکالیف هست؟ چون نزدیک امتحانات نهایی هست خیلی سخته  من فکردم مهلت تا اخر امشب هست الان دیدم مهلت تموم شده لطفا تمدید کنین  فایل تکالیف هم ضمیمه کردم.
66,تمرین 0201
66,تمرین 0202
66,ممنون میشم نمره من رو لحاظ کنید
66,من الان چک کردم گفته بودین تا پایان روز 16 اردیبهشت مهلت دارن ولی وقتی فایل میفرستم میگه مهلتش تموم شده
66,تمرین 0203
66,تمرین 0204
69,با عرض سلام و خسته نباشید می خواستم اگه میشود تایم دیدن فیلم ها را (قسمت های پایتون) را تمدید کنید به دلیل اینکه امتحان ها شروع شده و حداقل ما سه نوع امتحان داریم(نهایی ورودی مرات) و این خیلی وقتی برای ما باقی نمی گزاره تا فیلم ها رو ببینیم همیچنین در خواست داشتم این قانون رو بردارد.....
72,"سلام وقتتون بخیر، بخش کلان چالش ها و هوش مصنوعی 1 رو من انجام دادم و ثبت کردم اما ثبت نشده و بخش کلان چالش ها و هوش مصنوعی 2 برای من بسته هست و من میخوام اون کلیپ ها رو داشته باشم، اما چون مهلت ارسال سوال تمام شده من نمیتونم مجدد بخش کلان چالش ها و هوش مصنوعی 1 رو انجام بدم تا بخش دوم باز بشه، میشه بخش دوم رو باز کنید؟ هرچند که من قبلا اعتراض زده بودم که جواب های من توی این دو بخش ثبت نشده و شاید به همین دلیل بسته بودند مه من دوباره برم اما متاد دیر شده بود و من روز 15 ام دیدم و متاسفانه بسته شده بود..."
72,درست شد الان! اونموقع من سوالارو جواب داده بودم اخطار پایان مهلت زد و قبول نکرد 
72,ممنون از پاسخگوییتون
72,"ببخشید یه مشکلی هست که وقتی از صفحه کامل میایی بیرون ویدیو کامل از بین میره و از اول باید شروع به دیدن فیلم کنی، اگر بشه این باگ رو رفع کرد خیلی خوب میشه خیلی ممنون بابت اینکه جای سوالا رو نشون میدین"
72,"سلام وقتتون بخیر، من به همه ی سوالات پایتون 3 قسمت 1 جواب دادم ولی هیچکدوم برام ثبت نشده، چرا؟"
72, میشه یک بار دیگه اجازه بدین به سوالا جواب بدم؟ چون این باگ خیلی ناراحت کننده هست! من به همه سوالا جواب دادم ولی هیچکدوم رو ثبت نکرد(یهو از صفحه پرید بیرون و بعدش که برگشتم گفت امتیاز شما 0 از 6!)
72,"خیلی ممنون، حقیقتا اخطار اینترنت خورد و من مجبور شدم مجدد بیام و احتمالا طبق همین قاعده پاسخ های قبلیم ثبت نشده "
72,"امیدوارم که امکان اصلاحش باشه، خیلی ممنون از پاسخگویی و پیگیریتون"
72,خیلی خیلی ممنونم
72,خیلییییییی ممنون که فرصت ویرایش تمرین رو هم گذاشتید
72,"سلام وقتتون بخیر، چرا ویرایش تمرین باعث کاهش امتیاز میشه؟ من بعد از اینکه پاسخ حل تمرین رو دیدم متوجه برخی از اشتباهاتم شدم و خواستم اصلاحش کنم میشه امتیاز رو همان 5 امتیاز نگه دارین؟"
72,ممنونم
72,"اما اگر هنگامیکه تمرین رو ارسال کردیم، و سپس میخواهیم ویرایش کنیم امتیاز کم نمیشد خیلی بهتر بود"
72,چون من توی اون مدت ارسال کردم دیگه
72,حق با شماست
72,محتوای دوره بعد از پایان فاز اول بسته میشه؟
72,"یعنی حتی اگر دوره ها رو مشاهده نکرده باشیم و الان برامون قفل باشه، اونموقع میتونیم مشاهده کنیم؟ مهلتش تا کی هست؟ محتوا برای همیشه برای ما باز هست؟"
72,خیلی ممنون
72,"سلام وقتتون بخیر،ببخشید امکانش نیست مهلت ارسال تمرین ها رو فقط یک روز بیشتر کنین؟ یعنی تا شنبه شب🥺"
72,باشه خیلی ممنون
72,سلام وقتتون بخیر تا کی فرصت داریم بین تصویر و متن بخش مدنظرمون رو انتخاب کنیم؟
72,اگر الان براسال رتبه بندی مثلا 90 باشیم جز 100 نفربرتر هستیم؟
72,سلام وقتتون بخیر
72,بین پردازش متن و پردازش تصویر نمیدونم کدوم رو باید انتخاب کنم؟ تا کی فرصت انتخاب داریم؟
72,ممنون
72,"سلام وقتتون بخیر، رتبه ی بنده در محور پردازش متن حدود 20 هست، به محور اصلی راه پیدا میکنم؟"
73,سلام تکلیف توسط کسی چک می‌شود؟ 
74,سلام وقت بخیر من ی مقدار دیر شروع کردم به دیدن‌دوره بعد قسمت اول رو ک دیدم به سوالات پاسخ دادم اینا الان قسمت دو باز نمیشه و میگه باید اول قسمت یکو هم سوال هاشو تکمیل کنم و هم باید ببینم ولی من هم دیدم هم جواب سوالا ک حین آموزش ویدئو بود رو دادم حتی‌یبارم جواب سوالا رو از قسمتی ک پایین ویدئو هست زده بود که ویدئو رو نمیبینم جواب سوالات میدم فقد از اون راهم رفتم ولی قسمت دوم برام باز نشدهههه:(
74,من ثبت امتیاز رو انجام دادم اما هنوز ویدیو برام باز نشده 
74,سلام ممنون میشم منو راهنمایی کنید من خیلی از دوره عقب افتادم من حتی با امتیاز دهی قسمت بعد برام باز نشده
74,عکس ارسال نمیشه 😕
74,سلامیعنی عکس رو با لپ تاب ارسال کنم یا با گوشی ؟
74,فکر کنم عکسم ارسال شد براتون
74,اینم قسمتی که هیچ  ویدیویی باز نشده برام
74,ممنون میشم رسیدگی کنید الان دیگه تابستون شده من میخوام دوره هامو تکمیل کنمممممم
74,من الان دقیقا از 24 تا ویدیو عقبم 
74,من خدمتتون بالا هم عرض کردم من جواب سوال هارو ی بار هین ویدیو جواب دادم چن بار هم از طریق نیاز به مشاهده ندارم
74,چن بار انجام دادم و درست شد 
74,خیلی ممنونم بابت راهنمای و کمک هاتون تشکرررررررر
74,حتما ممنون
75,سلام من قبل از اینکه فیلم تموم بشه و سوال آخر را ببینم امتیاز را برام ثبت کرد آخه من فیلم را تا آخر ندیدم که سوال آخر را نزده تموم کرد لطفا سوال را باز کنید که بزنم آخه امتیازم بی خودی کم میشه 
75,سلام من چون قبلا امتحان کرده بودم می شد بعدا دوازده هم فرستاد ولی الان دو دقیقه گذشته ولی نمی گذارد
75,قبلا سر زمان اعلام شده قطع نمی شد به خاطر همین الان هم حداقل ده دقیقه بعد ببندید
75,این تمرین مربوط به جلسه چهارم هست
75,چون قبلا می شد من گفتم شب انجام میدهم اما الان ر
75,راس ساعت بستن
75,بعد الان هم درس ها زیاد هست ما این هفته مثلا دو تا یا مثلا هفته قبلیش داشتیم سر دو دقیقه دیگه نباید اینقدر سخت گیر بود بنا بر اینکه قبلا این سخت گیری انجام نمی شد
75,بعد یک سوال دیگری که داشتم این هست که الان برای مرحله بعدی از چه امتیازی به بالا قبول هستند و مثلا رتبه تا چقدر خوبه مثلا جزء صد نفر برتر باشیم تفاوتی با بقیه که کمتر هستن هست اصلاً؟
75,بله ممنون
77,سلام خسته نباشید ببخشید من وقت امتحان داشتم و نتوانستم مرحله 3و4را انجام بدم لطفاً فرصت را تمدید کنید 
77,شما درست می فرمایید ولی شما یک لطفب بکنید و فقط یک روز تمدید کنید 
77,خیلی ممنون
77,ببخشید این حرف را میزنم ولی اگر قابل تمدید نبود جلسه 1و2را تمدید نمی‌کردید 
77,و ممنون که بهم گفتید ما منطقه محرومان از همه چیز محروم هستیم
77,ببخشید که مزاحم شدم
77,سلام وقتتون بخیر 
77,ببخشید من تمرین هایم را نمیتوانم بفرستم
77,ببخشید یه چند ساعتی از پیام قبلی بنده میگذره ولی شما هنوز پاسخ ندادید و فقط دقایقی از پایان وقت باقی مونده باید چکار کنم
77,ببخشید ولی من فکر میکنم سایت مشکل داره چون هیچ کدوم از تمرین هارا نتونستم بفرستم و فقط خطا میزد در صورتی که من همیشه تمرین های قبلی را هم همینطور ارسال میکردم 
77,ببخشید ولی من فکر میکنم سایت مشکل داره چون هیچ کدوم از تمرین هارا نتونستم بفرستم و فقط خطا میزد در صورتی که من همیشه تمرین های قبلی را هم همینطور ارسال میکردم 
77,ببخشید ولی من فکر میکنم سایت مشکل داره چون هیچ کدوم از تمرین هارا نتونستم بفرستم و فقط خطا میزد در صورتی که من همیشه تمرین های قبلی را هم همینطور ارسال میکردم 
77,ببخشید ولی من فکر میکنم سایت مشکل داره چون هیچ کدوم از تمرین هارا نتونستم بفرستم و فقط خطا میزد در صورتی که من همیشه تمرین های قبلی را هم همینطور ارسال میکردم 
77,ببخشید ولی من فکر میکنم سایت مشکل داره چون هیچ کدوم از تمرین هارا نتونستم بفرستم و فقط خطا میزد در صورتی که من همیشه تمرین های قبلی را هم همینطور ارسال میکردم 
77,ببخشید ولی من فکر میکنم سایت مشکل داره چون هیچ کدوم از تمرین هارا نتونستم بفرستم و فقط خطا میزد در صورتی که من همیشه تمرین های قبلی را هم همینطور ارسال میکردم 
77,ببخشید ولی من فکر میکنم سایت مشکل داره چون هیچ کدوم از تمرین هارا نتونستم بفرستم و فقط خطا میزد در صورتی که من همیشه تمرین های قبلی را هم همینطور ارسال میکردم 
77,ببخشید ولی من فکر میکنم سایت مشکل داره چون هیچ کدوم از تمرین هارا نتونستم بفرستم و فقط خطا میزد در صورتی که من همیشه تمرین های قبلی را هم همینطور ارسال میکردم 
77,ببخشید ولی من فکر میکنم سایت مشکل داره چون هیچ کدوم از تمرین هارا نتونستم بفرستم و فقط خطا میزد در صورتی که من همیشه تمرین های قبلی را هم همینطور ارسال میکردم 
77,ببخشید منظورتون را از این ویدیو سوم و چهارم مخصوص درس دوم را متوجه نمیشوم
79,سلام وقتتون بخیر ببخشید من در قسمت 3بخش1دستم خورد و رفت جلوم میخواستم استوپ کنم و فقط یک سوال را جواب داده بودم و فقط امتیاز همون سوال برایم ثبت شد  الان باید چکار کنم ؟
79,خب اینجوری باشه حق نام حقی میشه 
79,خیلی ممنون
80,لطفا جواب سوالات پایتون ۲ قسمت ۲ رو برام توضیح بدین
80,"تورو خدا بیشتر وقت بدین برای ارسال تکالیففف .من الان امتحان دارم ،با این حال اومدم چند تا از تکالیف هارو نوشتم ولی باز وقت کم اوردم .نمیشه دوباره وقت بدین ؟؟؟؟"
86,میشه لطفا یکم وقت بدین برا بارگذاری فایل ها خواهش میکنم 
86,من فرستادم تمارینم رو فقط فایل اشتباهی اپلود کردم .الان چیکار کنم؟!
86,"خب حق بدین از یه طرف امتحانات نهایی از یه طرف فشار روحی ،از یه طرف کمبود وقت احتیاج شدید به خواب ،خوب ما هم ادمیم ،من دیروز از ساعت ۶بدون اتلاف وقت کد نوشتم تا تمرینم رو بار گذاری کنم بعدش اومدم انقدر خسته بودم اشتباهی فایل اپلود کردم و هنوز نفهمیده بودم ،الان اومدم دریافت فایل میزنم میبینم فایل رو جابه جا بار گذاری کردم!!"
